Company,Job Title,Location,Department,Employment Type,Salary,Visa Sponsorship,Required Skills,Preferred Skills,Job Description,Apply URL
Adtran,Software Engineer I,"Atlanta, GA",,Full time,,,C++ programming | Embedded/RTOS Linux environment | Agile/Scrum | Object-Oriented Design | Real-Time Operating Systems (RTOS) | Automation test suites | Software Development best practices,,"Welcome! Our Growth is Creating Great Opportunities! Our team is expanding, and we want to hire the most talented people we can. Continued success depends on it! Once you've had a chance to explore our current open positions, apply to the ones you feel suit you best and keep track of both your progress in the selection process, and new postings that might interest you! Thanks for your interest in working on our team! Job Summary The Software Engineer will be responsible for designing, developing, and testing software solutions for ADTRAN’s optical transport products. The Engineer will be expected to use real time software design and programming with C/C++ in a Linux build and Linux development environment. The engineer is expected to be able to create and maintain automation test suites using frameworks/methodologies used across the company. Duties and Responsibilities Design, develop and test new software features on optical transport Network Element Controller Develop software applications and features in cross-functional Agile development team Comprehensive automated unit and automated integration tests authored in parallel with code to prevent defects from entering the code base Adhere to Software Development best practices including Agile/Scrum Partner with others in cross-functional team to ensure team sprint goals are met, broadening skills where needed to achieve team goals Partner with engineers and architects (software and systems) at different sites and cultures to successfully complete global projects Use Object Oriented Design methodologies, design patterns, algorithms and data structures Design and develop in Real Time Operating Systems (RTOS) Apply multi-tasking and event driven aspects of developing Software in the RTOS environment Continuously improve and support and suggest new ways to eliminate waste and improve the efficiency/speed of software development within the team without sacrificing quality Design prime of a subsystem throughout the full software development life cycle of a software project Understand the product architecture, design, processes, and tools required to perform development tasks Qualifications Basic Qualifications BS in Computer Engineering/Computer Science or related Able to work at a desk majority of the day; moderate lifting, 15 – 44 lbs. Self-motivated to achieve team goals and drives individual tasks to completion C++ programming in embedded/RTOS Linux environment Deliver software features with minimal defects found in testing Dedicated to continuous improvement through retrospectives and personal growth Committed to Agile/Scrum way of working within the team and follows other Software Development best practices",https://adtran.wd3.myworkdayjobs.com/en-US/ADTRAN/job/Atlanta-GA/Software-Engineer-I_R005655-1
Adtran,Sales & Operations Planning Manager (M/F/D),"Meiningen, Germany",Global Supply Chain,Part time,,,"Bachelor’s or Master’s degree in Business Administration, Economic Science, Industrial Engineering or equivalent | 3-5 years of work experience in Demand Planning and SCM | Experience in project management | Good knowledge in MS Excel, Salesforce and ERP landscapes (SAP or similar) | Good command of the English and German languages",,"We are looking for a highly motivated Sales & Operations Planning Manager (M/F/D) to join our Global Supply Chain team in Meiningen. Responsibilities include improving material forecast, collaborating with Global Sales, Procurement, and Supply Chain Analytics, leading account review meetings, driving smarter business decisions, reducing lead times and inventory levels, and contributing to strategic S&OP concepts.",https://adtran.wd3.myworkdayjobs.com/en-US/ADTRAN/job/Sales---Operations-Planning-Manager--M-F-D-_R005671
Adtran,Software Engineer,"Ra’anana, Israel",R&D,Full time,,,"B.Sc. in Computer Science (or equivalent practical depth) | 0–3 years of experience (strong internships or real personal/open-source projects count) | Strong fundamentals: data structures, algorithms, clean OOP, and common design patterns | Working proficiency in Java and/or Python, with appetite to learn the rest of the stack | Comfortable with SQL, REST/JSON, Linux, and Git/GitHub | Fluent with AI coding assistants, able to critically review what they produce | Self-driven, curious, opinionated, and a clear communicator; fluent English","Full-stack reach: web UIs with a modern JavaScript/TypeScript framework (React, Angular, or similar) plus HTML/CSS | Good eye for UX and UI design | Spec-Driven Development (SDD); Spring/Spring Boot; concurrency/multithreading; microservices and hexagonal (ports & adapters) design | Docker, Kubernetes, Helm, Docker Swarm; CI/CD and DevOps (GitHub Actions, Jenkins, TeamCity) | Deeper Linux knowledge and bash / shell scripting | API and testing tooling: OpenAPI/Swagger, AsyncAPI, gRPC/protobuf; JUnit, Testcontainers, pytest | Observability: Prometheus/Grafana, ELK, OpenTelemetry | Kafka or other streaming technologies; TimescaleDB / time-series databases | Golang | Network management / NMS domain knowledge","We are looking for a motivated Software Engineer to join our R&D team in Raanana. Responsibilities include designing, building, and testing microservices for the NMS; working spec-first on new services; using AI coding agents to maintain and fix the legacy monolith; collaborating via GitHub (PRs, reviews, CI); investigating and resolving customer-reported defects; reproducing issues, finding root causes, and shipping verified fixes.",https://adtran.wd3.myworkdayjobs.com/en-US/ADTRAN/job/Software-Engineer_R005641
Adtran,Software Engineer II,"Gdynia, Poland",,Full time,,,"Bachelor’s degree in computer science, Computer Engineering, Software Engineering, Computer Information Science, Electrical Engineering, or equivalent education | At least 3 years of active, professional experience | Solid foundation in computer science, with strong competencies in data structures, algorithms, and software engineering | Experience with Python | Experience with testing and development tools such as pyTest | Experience with Test Driven Development and Unit Test Frameworks | Excellent teamwork abilities | At least B1 English proficiency level","Experience with Python3, Pydantic, Poetry and Boto3 library | Experience with Infrastructure as Code (IaC) such as CloudFormation, AWS SAM and AWS CDK","Welcome! Our Growth is Creating Great Opportunities! Our team is expanding, and we want to hire the most talented people we can. Continued success depends on it! Once you've had a chance to explore our current open positions, apply to the ones you feel suit you best and keep track of both your progress in the selection process, and new postings that might interest you! Thanks for your interest in working on our team! Adtran is looking for a Software Engineer II to join the team working on Mosaic One, an innovative SaaS product. Mosaic One is a cloud-based system that aggregates data from various network management platforms, broadband access, and consumer devices to provide targeted workflows and AI-driven insights for customer success. A successful candidate will join a full-stack team responsible for designing, developing, and continually improving our product using new technologies and agile best practices. Duties and Responsibilities: Design and development of the Mosaic One SaaS product. Perform or assist in high-level and low-level software design and implementation of new modules and enhancements to existing software. Perform or assist in feasibility studies of needed software development. Document the design including features’ definition and architecture. Conduct and participate in design reviews and code reviews. Plan and perform unit and system level testing of implemented software modules and enhancements. Help fix software bugs found during all testing phases. Work with the team to deploy and test incremental software releases. Organize and coordinate development activities within schedule and product constraints.",https://adtran.wd3.myworkdayjobs.com/en-US/ADTRAN/job/Gdynia-Poland/Software-Engineer-II_R005595
Adtran,Student (Software Engineer with Python),"Gdynia, Poland",,Full time,"6,000PLN",,"Currently pursuing a degree in Computer Science, Engineering, or a related field | Working knowledge of Python | Some hands-on experience with the cloud (preferably AWS) | A self-starter with a can-do attitude | Eager to learn | Good teamwork and communication skills | Proficiency in Polish (C1) and English (B2)","Familiarity with some AWS managed services (Lambda, DynamoDB, SQS, SNS, S3) | Familiarity with unit testing | Basic knowledge of TypeScript or another additional language | Interest in networking technologies and IoT","Welcome! Our Growth is Creating Great Opportunities! Our team is expanding, and we want to hire the most talented people we can. Continued success depends on it! Once you've had a chance to explore our current open positions, apply to the ones you feel suit you best and keep track of both your progress in the selection process, and new postings that might interest you! Thanks for your interest in working on our team! Adtran is seeking a Student Software Engineer with an interest in Python and cloud technologies to join our team. You'll work on Intellifi®, a cloud-based SaaS platform for internet service providers that helps manage, optimize, and monetize their services. Our team builds the intelligence behind network observability - collecting and analyzing observations from hundreds of thousands of devices in real-time and batch pipelines to power home network troubleshooting and automatic network issue detection. We work mainly with Python and AWS serverless. You will be part of a cross-functional Scrum team based in Poland, learning alongside experienced engineers while helping build and extend services responsible for network observability, metrics, and troubleshooting.",https://adtran.wd3.myworkdayjobs.com/en-US/ADTRAN/job/Gdynia-Poland/Student--Software-Engineer-with-Python-_R005657-1
