Company,Job Title,Location,Department,Employment Type,Salary,Visa Sponsorship,Required Skills,Preferred Skills,Job Description,Apply URL
Apply,Clinical Lead,East Grinstead,Nursing,,£24.82 to £25.82 per hour,,Registered Nurse with a valid Pin number | Commitment to profession through NMC standards | Passion to mentor and share knowledge | Effective communication skills | Ability to advocate and deliver person-centred care | Safeguarding awareness,,"In your role as a Clinical Lead at HC One, Kindness will be at the core of everything you do. It touches upon every aspect of our Dementia, Nursing, Residential and Specialist care homes. Every single person who works here understands that our residents are people just like them with their own stories to tell. And, by joining us, you’ll have a wonderful opportunity to give something back to those people. As a Clinical Lead that will mean making sure the level of clinical care we offer goes beyond just professional standards and statutory, regulatory and legal requirements. It will mean providing specialist nursing support and advice, taking responsibility for resident care in the Home Manager’s absence and supervising/coaching colleagues to provide a service that’s unparalleled in its empathy for resident issues.",https://apply.hc-one.co.uk/vacancies/72666/clinical-lead.html
Apply,Care Assistant,West Lothian,Redmill,,£13.50 to £14.00 per hour,No sponsorship offered,,,"At HC-One, kindness is at the heart of everything we do across our Dementia, Nursing, Residential and Specialist care homes. Our residents are people with their own stories to tell, and by joining us you’ll have the chance to give something back while helping them live with dignity and purpose. We’re looking for an enthusiastic and committed Care Assistant to join our team. Working under the guidance of a Registered Nurse, you’ll support the physical, emotional and social wellbeing of our residents. This includes personal care such as washing, dressing, hygiene and meals, as well as helping with daily activities in the home. You’ll deliver care that comes from the heart — making sure residents never lose their individuality. Whether you’re supporting someone with limited mobility, offering comfort to a resident who is distressed, or providing compassionate end-of-life care, you’ll always put their wellbeing first.",https://apply.hc-one.co.uk/vacancies/72665/care-assistant.html
Apply,Senior Care Assistant,Falkirk,Barleystone,,£14.40 to £15.00 per hour,,Level 2 Diploma S/NVQ in Adult Social Care | Prepared to work towards Level 3 qualification in Adult Social Care | Background in person centered care planning | Knowledge of caring for people with dementia | Positive energy | Ability to get along with people | Good record keeping | Effective time management | Considerate and kind communication,,"As a Senior Care Assistant at HC One, Kindness will be at the core of everything you do. It touches upon every aspect of our Dementia, Nursing, Residential and Specialist care homes. Every single person who works here understands that our residents are people just like them with their own stories to tell. And, by joining us, you’ll have a wonderful opportunity to give something back to those people. For you, that will mean planning and implementing the kind of care that will give our residents a real sense of security, dignity and independence. You will get to know our residents and their families – helping to ensure we deliver truly personalised care plans. Leading a team of Care Assistants, you will be responsible for maintaining the highest standards of care and you’ll be a real influence on the rest of the team. Whether you are showing someone how to use a walking frame, helping someone at the end of their life to eat a meal or talking to a resident’s family on the phone, you’ll do so with a sense of kindness, above anything else. Assisting the Registered Nurse and Care Manager, you will be involved in providing essential physical and mental stimulation through a range of social and recreational activities, as well as administering medication. One of your key responsibilities as Senior Care Assistant is to maintain accurate records of the job you do and build strong relationships with the rest of your team.",https://apply.hc-one.co.uk/vacancies/72664/senior-care-assistant.html
Apply,Care Assistant,Polegate,Carer,Full time,£14.80 to £15.30 per hour,Applicants must have the right to work in the UK,,,"At HC-One, kindness is at the heart of everything we do across our Dementia, Nursing, Residential and Specialist care homes. Our residents are people with their own stories to tell, and by joining us you’ll have the chance to give something back while helping them live with dignity and purpose. We’re looking for an enthusiastic and committed Care Assistant to join our team. Working under the guidance of a Registered Nurse, you’ll support the physical, emotional and social wellbeing of our residents. This includes personal care such as washing, dressing, hygiene and meals, as well as helping with daily activities in the home. You’ll deliver care that comes from the heart — making sure residents never lose their individuality. Whether you’re supporting someone with limited mobility, offering comfort to a resident who is distressed, or providing compassionate end-of-life care, you’ll always put their wellbeing first.",https://apply.hc-one.co.uk/vacancies/72663/care-assistant.html
Apply,Registered Nurse,Chorlton,Nursing,Full-time,£21.28 to £21.78 per hour,,Registered Nurse with at least 12 months experience in Health or Social Care | Valid Pin number | Commitment to profession through NMC standards | Passion to mentor and share knowledge | Effective communication skills | Ability to advocate and deliver person-centred care,,"As a Registered Nurse at HC-One, you will build on your existing skill set, practicing in a nurse-led environment, developing complex decision making and collaborative skills. You will make a difference to our Residents at a time of their life when they may feel the most vulnerable, and they will look to you to guide and support them in life-changing decisions. This role will mostly be day shifts full time.",https://apply.hc-one.co.uk/vacancies/72662/registered-nurse.html
