organisation_name,careers_website
CHENDHUR INFOTECH LTD,https://www.chendhur.com/careers
MULTIPLIER TECHNOLOGIES UK LTD,https://www.usemultiplier.com/careers
10X Banking Technology Services Ltd,https://www.10xbanking.com/careers
3i Infotech (UK) Limited,https://www.3i-infotech.com/careers/
A10 Networks Limited,https://www.a10networks.com/company/careers/
